user_id,top_10_items
0,"[15, 411, 122, 552, 837, 78, 933, 465, 478, 600]"
1,"[375, 523, 154, 472, 691, 846, 403, 241, 432, 220]"
2,"[907, 523, 652, 890, 194, 596, 154, 673, 758, 216]"
3,"[673, 354, 367, 760, 981, 422, 642, 534, 175, 83]"
4,"[805, 158, 272, 861, 846, 647, 306, 938, 294, 545]"
5,"[315, 781, 198, 305, 652, 907, 758, 250, 187, 929]"
6,"[195, 956, 123, 449, 736, 470, 239, 997, 420, 522]"
7,"[956, 571, 239, 376, 195, 761, 997, 255, 115, 512]"
8,"[591, 539, 752, 805, 175, 952, 512, 699, 727, 545]"
9,"[567, 321, 852, 474, 424, 885, 90, 650, 292, 720]"
10,"[673, 70, 837, 122, 492, 870, 692, 933, 66, 642]"
11,"[727, 852, 805, 275, 878, 430, 294, 846, 965, 545]"
12,"[825, 35, 54, 914, 584, 884, 311, 808, 939, 532]"
13,"[241, 106, 416, 336, 403, 154, 362, 938, 375, 93]"
14,"[552, 351, 70, 492, 37, 471, 456, 426, 642, 416]"
15,"[673, 642, 87, 870, 209, 884, 492, 980, 680, 354]"
16,"[571, 761, 255, 941, 527, 116, 980, 956, 997, 115]"
17,"[766, 707, 644, 696, 229, 552, 915, 7, 815, 684]"
18,"[21, 827, 116, 584, 464, 257, 322, 486, 442, 858]"
19,"[552, 183, 297, 945, 684, 670, 805, 451, 766, 416]"
20,"[761, 571, 115, 807, 255, 444, 214, 532, 997, 116]"
21,"[292, 399, 596, 111, 423, 472, 869, 958, 818, 720]"
22,"[0, 511, 914, 825, 896, 774, 659, 934, 35, 858]"
23,"[980, 258, 132, 680, 365, 464, 824, 605, 416, 827]"
24,"[443, 986, 52, 456, 351, 795, 742, 492, 168, 337]"
25,"[742, 914, 253, 757, 346, 114, 15, 452, 511, 8]"
26,"[458, 880, 292, 437, 146, 876, 220, 550, 178, 927]"
27,"[956, 33, 239, 376, 736, 283, 123, 163, 195, 449]"
28,"[292, 403, 241, 816, 61, 472, 25, 671, 864, 846]"
29,"[15, 774, 122, 99, 896, 837, 78, 411, 658, 5]"
30,"[194, 441, 652, 890, 907, 839, 673, 811, 523, 152]"
31,"[100, 52, 619, 831, 443, 456, 662, 890, 351, 660]"
32,"[596, 399, 818, 111, 522, 678, 872, 357, 232, 581]"
33,"[403, 399, 241, 486, 225, 472, 106, 671, 10, 154]"
34,"[742, 796, 452, 466, 156, 683, 175, 174, 757, 361]"
35,"[546, 816, 290, 949, 527, 674, 602, 846, 736, 941]"
36,"[5, 788, 511, 820, 316, 692, 850, 87, 83, 673]"
37,"[805, 552, 94, 973, 622, 752, 670, 738, 70, 674]"
38,"[552, 70, 471, 416, 464, 122, 440, 165, 827, 605]"
39,"[788, 412, 673, 452, 114, 367, 346, 841, 174, 981]"
40,"[41, 890, 596, 523, 93, 106, 62, 154, 79, 362]"
41,"[567, 321, 852, 474, 297, 650, 467, 720, 749, 294]"
42,"[914, 742, 253, 659, 757, 156, 802, 114, 934, 346]"
43,"[781, 568, 25, 567, 45, 903, 458, 0, 759, 462]"
44,"[761, 571, 827, 980, 116, 255, 835, 870, 39, 237]"
45,"[571, 761, 941, 539, 952, 116, 255, 980, 649, 527]"
46,"[61, 816, 938, 183, 647, 160, 595, 812, 805, 660]"
47,"[660, 61, 941, 985, 816, 689, 621, 917, 165, 443]"
48,"[474, 520, 567, 14, 127, 174, 885, 452, 240, 15]"
49,"[805, 780, 552, 868, 194, 978, 986, 58, 551, 19]"
50,"[596, 399, 154, 0, 872, 818, 472, 114, 403, 439]"
51,"[888, 876, 129, 857, 949, 178, 146, 510, 615, 770]"
52,"[174, 474, 452, 8, 914, 114, 56, 253, 757, 885]"
53,"[742, 156, 757, 283, 807, 33, 968, 452, 820, 822]"
54,"[652, 809, 673, 907, 839, 758, 120, 923, 506, 412]"
55,"[443, 32, 1, 689, 660, 649, 742, 165, 57, 685]"
56,"[596, 523, 758, 365, 678, 691, 673, 154, 907, 194]"
57,"[100, 52, 831, 737, 662, 441, 890, 415, 959, 986]"
58,"[321, 574, 567, 565, 292, 658, 712, 707, 575, 467]"
59,"[539, 727, 591, 370, 650, 94, 805, 512, 33, 163]"
60,"[600, 15, 297, 684, 20, 478, 127, 802, 61, 351]"
61,"[552, 61, 766, 805, 945, 986, 427, 294, 145, 466]"
62,"[61, 816, 660, 689, 941, 985, 443, 183, 647, 528]"
63,"[0, 399, 154, 914, 114, 439, 41, 841, 596, 8]"
64,"[662, 33, 272, 213, 786, 283, 100, 981, 415, 294]"
65,"[94, 539, 752, 53, 591, 805, 512, 370, 510, 66]"
66,"[805, 727, 94, 105, 816, 240, 888, 670, 58, 933]"
67,"[100, 831, 294, 959, 61, 535, 600, 737, 986, 662]"
68,"[852, 862, 720, 294, 292, 846, 423, 873, 953, 965]"
69,"[297, 477, 552, 53, 567, 427, 852, 294, 754, 953]"
70,"[474, 412, 520, 127, 120, 53, 452, 15, 688, 652]"
71,"[742, 452, 474, 466, 683, 796, 174, 986, 687, 453]"
72,"[852, 474, 294, 174, 33, 567, 720, 321, 163, 596]"
73,"[658, 770, 292, 321, 567, 178, 707, 565, 35, 195]"
74,"[292, 816, 862, 442, 602, 61, 864, 846, 403, 269]"
75,"[805, 194, 58, 557, 978, 138, 539, 780, 680, 876]"
76,"[512, 240, 673, 230, 58, 876, 348, 474, 120, 412]"
77,"[552, 351, 471, 456, 451, 70, 844, 809, 219, 416]"
78,"[292, 442, 770, 658, 449, 869, 958, 146, 129, 888]"
79,"[885, 467, 766, 567, 802, 749, 490, 267, 15, 688]"
80,"[512, 53, 474, 14, 120, 412, 240, 452, 397, 104]"
81,"[194, 523, 441, 216, 890, 907, 58, 805, 432, 93]"
82,"[816, 552, 727, 670, 805, 105, 94, 738, 851, 427]"
83,"[512, 510, 876, 557, 805, 58, 888, 680, 769, 230]"
84,"[316, 762, 5, 692, 87, 542, 122, 688, 673, 70]"
85,"[904, 785, 584, 362, 41, 621, 917, 660, 886, 375]"
86,"[512, 788, 997, 820, 673, 452, 175, 312, 675, 648]"
87,"[100, 662, 742, 283, 647, 443, 959, 831, 630, 986]"
88,"[659, 914, 985, 631, 35, 256, 28, 934, 13, 939]"
89,"[770, 195, 178, 888, 14, 903, 635, 292, 146, 420]"
90,"[642, 673, 492, 41, 139, 62, 422, 367, 79, 93]"
91,"[596, 399, 691, 678, 523, 375, 872, 768, 365, 114]"
92,"[642, 492, 351, 37, 99, 426, 456, 784, 799, 87]"
93,"[174, 820, 467, 321, 650, 195, 617, 643, 704, 575]"
94,"[127, 478, 520, 600, 15, 474, 596, 730, 652, 297]"
95,"[552, 416, 824, 315, 799, 973, 605, 122, 465, 471]"
96,"[512, 876, 805, 510, 406, 432, 194, 888, 58, 557]"
97,"[766, 742, 466, 585, 750, 650, 140, 802, 934, 256]"
98,"[181, 852, 33, 977, 294, 720, 792, 925, 846, 174]"
99,"[605, 258, 584, 884, 295, 827, 808, 658, 858, 21]"
